symbol	name	locus_group
LINC01986	long intergenic non-protein coding RNA 1986	non-coding RNA
LINC01987	long intergenic non-protein coding RNA 1987	non-coding RNA
LINC01988	long intergenic non-protein coding RNA 1988	non-coding RNA
LINC01989	long intergenic non-protein coding RNA 1989	non-coding RNA
LINC01990	long intergenic non-protein coding RNA 1990	non-coding RNA
LINC01991	long intergenic non-protein coding RNA 1991	non-coding RNA
LINC01992	long intergenic non-protein coding RNA 1992	non-coding RNA
LINC01993	long intergenic non-protein coding RNA 1993	non-coding RNA
LINC01994	long intergenic non-protein coding RNA 1994	non-coding RNA
LINC01995	long intergenic non-protein coding RNA 1995	non-coding RNA
LINC01996	long intergenic non-protein coding RNA 1996	non-coding RNA
LINC01997	long intergenic non-protein coding RNA 1997	non-coding RNA
LINC01998	long intergenic non-protein coding RNA 1998	non-coding RNA
LINC01999	long intergenic non-protein coding RNA 1999	non-coding RNA
LINC02000	long intergenic non-protein coding RNA 2000	non-coding RNA
LINC02002	long intergenic non-protein coding RNA 2002	non-coding RNA
LINC02003	long intergenic non-protein coding RNA 2003	non-coding RNA
LINC02004	long intergenic non-protein coding RNA 2004	non-coding RNA
LINC02005	long intergenic non-protein coding RNA 2005	non-coding RNA
LINC02006	long intergenic non-protein coding RNA 2006	non-coding RNA
LINC02008	long intergenic non-protein coding RNA 2008	non-coding RNA
LINC02009	long intergenic non-protein coding RNA 2009	non-coding RNA
LINC02010	long intergenic non-protein coding RNA 2010	non-coding RNA
LINC02011	long intergenic non-protein coding RNA 2011	non-coding RNA
LINC02012	long intergenic non-protein coding RNA 2012	non-coding RNA
LINC02013	long intergenic non-protein coding RNA 2013	non-coding RNA
LINC02014	long intergenic non-protein coding RNA 2014	non-coding RNA
LINC02015	long intergenic non-protein coding RNA 2015	non-coding RNA
LINC02016	long intergenic non-protein coding RNA 2016	non-coding RNA
LINC02017	long intergenic non-protein coding RNA 2017	non-coding RNA
LINC02018	long intergenic non-protein coding RNA 2018	non-coding RNA
LINC02019	long intergenic non-protein coding RNA 2019	non-coding RNA
LINC02020	long intergenic non-protein coding RNA 2020	non-coding RNA
LINC02021	long intergenic non-protein coding RNA 2021	non-coding RNA
LINC02022	long intergenic non-protein coding RNA 2022	non-coding RNA
LINC02023	long intergenic non-protein coding RNA 2023	non-coding RNA
LINC02024	long intergenic non-protein coding RNA 2024	non-coding RNA
LINC02025	long intergenic non-protein coding RNA 2025	non-coding RNA
LINC02026	long intergenic non-protein coding RNA 2026	non-coding RNA
LINC02027	long intergenic non-protein coding RNA 2027	non-coding RNA
LINC02028	long intergenic non-protein coding RNA 2028	non-coding RNA
LINC02029	long intergenic non-protein coding RNA 2029	non-coding RNA
LINC02030	long intergenic non-protein coding RNA 2030	non-coding RNA
LINC02031	long intergenic non-protein coding RNA 2031	non-coding RNA
LINC02032	long intergenic non-protein coding RNA 2032	non-coding RNA
LINC02033	long intergenic non-protein coding RNA 2033	non-coding RNA
LINC02034	long intergenic non-protein coding RNA 2034	non-coding RNA
LINC02035	long intergenic non-protein coding RNA 2035	non-coding RNA
LINC02036	long intergenic non-protein coding RNA 2036	non-coding RNA
LINC02037	long intergenic non-protein coding RNA 2037	non-coding RNA
LINC02038	long intergenic non-protein coding RNA 2038	non-coding RNA
LINC02039	long intergenic non-protein coding RNA 2039	non-coding RNA
LINC02040	long intergenic non-protein coding RNA 2040	non-coding RNA
LINC02041	long intergenic non-protein coding RNA 2041	non-coding RNA
LINC02042	long intergenic non-protein coding RNA 2042	non-coding RNA
LINC02043	long intergenic non-protein coding RNA 2043	non-coding RNA
LINC02044	long intergenic non-protein coding RNA 2044	non-coding RNA
LINC02045	long intergenic non-protein coding RNA 2045	non-coding RNA
LINC02046	long intergenic non-protein coding RNA 2046	non-coding RNA
LINC02047	long intergenic non-protein coding RNA 2047	non-coding RNA
LINC02048	long intergenic non-protein coding RNA 2048	non-coding RNA
LINC02049	long intergenic non-protein coding RNA 2049	non-coding RNA
LINC02050	long intergenic non-protein coding RNA 2050	non-coding RNA
LINC02051	long intergenic non-protein coding RNA 2051	non-coding RNA
LINC02052	long intergenic non-protein coding RNA 2052	non-coding RNA
LINC02053	long intergenic non-protein coding RNA 2053	non-coding RNA
LINC02054	long intergenic non-protein coding RNA 2054	other
LINC02055	long intergenic non-protein coding RNA 2055	non-coding RNA
LINC02056	long intergenic non-protein coding RNA 2056	non-coding RNA
LINC02057	long intergenic non-protein coding RNA 2057	non-coding RNA
LINC02058	long intergenic non-protein coding RNA 2058	non-coding RNA
LINC02059	long intergenic non-protein coding RNA 2059	non-coding RNA
LINC02060	long intergenic non-protein coding RNA 2060	non-coding RNA
LINC02061	long intergenic non-protein coding RNA 2061	non-coding RNA
LINC02062	long intergenic non-protein coding RNA 2062	non-coding RNA
LINC02063	long intergenic non-protein coding RNA 2063	non-coding RNA
LINC02064	long intergenic non-protein coding RNA 2064	non-coding RNA
LINC02065	long intergenic non-protein coding RNA 2065	non-coding RNA
LINC02066	long intergenic non-protein coding RNA 2066	non-coding RNA
LINC02067	long intergenic non-protein coding RNA 2067	non-coding RNA
LINC02068	long intergenic non-protein coding RNA 2068	non-coding RNA
LINC02069	long intergenic non-protein coding RNA 2069	non-coding RNA
LINC02070	long intergenic non-protein coding RNA 2070	non-coding RNA
LINC02071	long intergenic non-protein coding RNA 2071	non-coding RNA
LINC02072	long intergenic non-protein coding RNA 2072	non-coding RNA
LINC02073	long intergenic non-protein coding RNA 2073	non-coding RNA
LINC02074	long intergenic non-protein coding RNA 2074	non-coding RNA
LINC02075	long intergenic non-protein coding RNA 2075	non-coding RNA
LINC02076	long intergenic non-protein coding RNA 2076	non-coding RNA
LINC02077	long intergenic non-protein coding RNA 2077	non-coding RNA
LINC02078	long intergenic non-protein coding RNA 2078	non-coding RNA
LINC02079	long intergenic non-protein coding RNA 2079	non-coding RNA
LINC02080	long intergenic non-protein coding RNA 2080	non-coding RNA
LINC02082	long intergenic non-protein coding RNA 2082	non-coding RNA
LINC02083	long intergenic non-protein coding RNA 2083	non-coding RNA
LINC02084	long intergenic non-protein coding RNA 2084	non-coding RNA
LINC02085	long intergenic non-protein coding RNA 2085	non-coding RNA
LINC02086	long intergenic non-protein coding RNA 2086	non-coding RNA
LINC02087	long intergenic non-protein coding RNA 2087	non-coding RNA
LINC02088	long intergenic non-protein coding RNA 2088	non-coding RNA
LINC02089	long intergenic non-protein coding RNA 2089	non-coding RNA
LINC02090	long intergenic non-protein coding RNA 2090	non-coding RNA
LINC02091	long intergenic non-protein coding RNA 2091	non-coding RNA
LINC02092	long intergenic non-protein coding RNA 2092	non-coding RNA
LINC02093	long intergenic non-protein coding RNA 2093	non-coding RNA
LINC02094	long intergenic non-protein coding RNA 2094	non-coding RNA
LINC02096	long intergenic non-protein coding RNA 2096	non-coding RNA
LINC02097	long intergenic non-protein coding RNA 2097	non-coding RNA
LINC02098	long intergenic non-protein coding RNA 2098	non-coding RNA
LINC02099	long intergenic non-protein coding RNA 2099	non-coding RNA
LINC02100	long intergenic non-protein coding RNA 2100	non-coding RNA
LINC02101	long intergenic non-protein coding RNA 2101	non-coding RNA
LINC02102	long intergenic non-protein coding RNA 2102	non-coding RNA
LINC02103	long intergenic non-protein coding RNA 2103	non-coding RNA
LINC02104	long intergenic non-protein coding RNA 2104	non-coding RNA
LINC02105	long intergenic non-protein coding RNA 2105	non-coding RNA
LINC02106	long intergenic non-protein coding RNA 2106	non-coding RNA
LINC02107	long intergenic non-protein coding RNA 2107	non-coding RNA
LINC02108	long intergenic non-protein coding RNA 2108	non-coding RNA
LINC02109	long intergenic non-protein coding RNA 2109	non-coding RNA
LINC02110	long intergenic non-protein coding RNA 2110	non-coding RNA
LINC02111	long intergenic non-protein coding RNA 2111	non-coding RNA
LINC02112	long intergenic non-protein coding RNA 2112	non-coding RNA
LINC02113	long intergenic non-protein coding RNA 2113	non-coding RNA
LINC02114	long intergenic non-protein coding RNA 2114	non-coding RNA
LINC02115	long intergenic non-protein coding RNA 2115	non-coding RNA
LINC02116	long intergenic non-protein coding RNA 2116	non-coding RNA
LINC02117	long intergenic non-protein coding RNA 2117	non-coding RNA
LINC02118	long intergenic non-protein coding RNA 2118	non-coding RNA
LINC02119	long intergenic non-protein coding RNA 2119	non-coding RNA
LINC02120	long intergenic non-protein coding RNA 2120	non-coding RNA
LINC02121	long intergenic non-protein coding RNA 2121	non-coding RNA
LINC02122	long intergenic non-protein coding RNA 2122	non-coding RNA
LINC02123	long intergenic non-protein coding RNA 2123	non-coding RNA
LINC02124	long intergenic non-protein coding RNA 2124	non-coding RNA
LINC02125	long intergenic non-protein coding RNA 2125	non-coding RNA
LINC02126	long intergenic non-protein coding RNA 2126	non-coding RNA
LINC02127	long intergenic non-protein coding RNA 2127	non-coding RNA
LINC02128	long intergenic non-protein coding RNA 2128	non-coding RNA
LINC02129	long intergenic non-protein coding RNA 2129	non-coding RNA
LINC02130	long intergenic non-protein coding RNA 2130	non-coding RNA
LINC02131	long intergenic non-protein coding RNA 2131	non-coding RNA
LINC02132	long intergenic non-protein coding RNA 2132	non-coding RNA
LINC02133	long intergenic non-protein coding RNA 2133	non-coding RNA
LINC02134	long intergenic non-protein coding RNA 2134	non-coding RNA
LINC02135	long intergenic non-protein coding RNA 2135	non-coding RNA
LINC02136	long intergenic non-protein coding RNA 2136	non-coding RNA
LINC02137	long intergenic non-protein coding RNA 2137	non-coding RNA
LINC02138	long intergenic non-protein coding RNA 2138	non-coding RNA
LINC02139	long intergenic non-protein coding RNA 2139	non-coding RNA
LINC02140	long intergenic non-protein coding RNA 2140	non-coding RNA
LINC02141	long intergenic non-protein coding RNA 2141	non-coding RNA
LINC02142	long intergenic non-protein coding RNA 2142	non-coding RNA
LINC02143	long intergenic non-protein coding RNA 2143	non-coding RNA
LINC02144	long intergenic non-protein coding RNA 2144	non-coding RNA
LINC02145	long intergenic non-protein coding RNA 2145	non-coding RNA
LINC02146	long intergenic non-protein coding RNA 2146	non-coding RNA
LINC02147	long intergenic non-protein coding RNA 2147	non-coding RNA
LINC02148	long intergenic non-protein coding RNA 2148	non-coding RNA
LINC02149	long intergenic non-protein coding RNA 2149	non-coding RNA
LINC02150	long intergenic non-protein coding RNA 2150	non-coding RNA
LINC02151	long intergenic non-protein coding RNA 2151	non-coding RNA
LINC02152	long intergenic non-protein coding RNA 2152	non-coding RNA
LINC02153	long intergenic non-protein coding RNA 2153	non-coding RNA
LINC02154	long intergenic non-protein coding RNA 2154	non-coding RNA
LINC02155	long intergenic non-protein coding RNA 2155	non-coding RNA
LINC02156	long intergenic non-protein coding RNA 2156	non-coding RNA
LINC02157	long intergenic non-protein coding RNA 2157	non-coding RNA
LINC02158	long intergenic non-protein coding RNA 2158	non-coding RNA
LINC02159	long intergenic non-protein coding RNA 2159	non-coding RNA
LINC02160	long intergenic non-protein coding RNA 2160	non-coding RNA
LINC02161	long intergenic non-protein coding RNA 2161	non-coding RNA
LINC02162	long intergenic non-protein coding RNA 2162	non-coding RNA
LINC02163	long intergenic non-protein coding RNA 2163	non-coding RNA
LINC02164	long intergenic non-protein coding RNA 2164	non-coding RNA
LINC02165	long intergenic non-protein coding RNA 2165	non-coding RNA
LINC02166	long intergenic non-protein coding RNA 2166	non-coding RNA
LINC02167	long intergenic non-protein coding RNA 2167	non-coding RNA
LINC02168	long intergenic non-protein coding RNA 2168	non-coding RNA
LINC02169	long intergenic non-protein coding RNA 2169	non-coding RNA
LINC02171	long intergenic non-protein coding RNA 2171	non-coding RNA
LINC02172	long intergenic non-protein coding RNA 2172	non-coding RNA
LINC02173	long intergenic non-protein coding RNA 2173	non-coding RNA
LINC02174	long intergenic non-protein coding RNA 2174	non-coding RNA
LINC02175	long intergenic non-protein coding RNA 2175	non-coding RNA
LINC02176	long intergenic non-protein coding RNA 2176	non-coding RNA
LINC02177	long intergenic non-protein coding RNA 2177	non-coding RNA
LINC02178	long intergenic non-protein coding RNA 2178	non-coding RNA
LINC02179	long intergenic non-protein coding RNA 2179	non-coding RNA
LINC02180	long intergenic non-protein coding RNA 2180	non-coding RNA
LINC02181	long intergenic non-protein coding RNA 2181	non-coding RNA
LINC02182	long intergenic non-protein coding RNA 2182	non-coding RNA
LINC02183	long intergenic non-protein coding RNA 2183	non-coding RNA
LINC02184	long intergenic non-protein coding RNA 2184	non-coding RNA
LINC02185	long intergenic non-protein coding RNA 2185	non-coding RNA
LINC02186	long intergenic non-protein coding RNA 2186	non-coding RNA
LINC02188	long intergenic non-protein coding RNA 2188	non-coding RNA
LINC02189	long intergenic non-protein coding RNA 2189	non-coding RNA
LINC02190	long intergenic non-protein coding RNA 2190	non-coding RNA
LINC02191	long intergenic non-protein coding RNA 2191	non-coding RNA
LINC02192	long intergenic non-protein coding RNA 2192	non-coding RNA
LINC02193	long intergenic non-protein coding RNA 2193	non-coding RNA
LINC02194	long intergenic non-protein coding RNA 2194	non-coding RNA
LINC02195	long intergenic non-protein coding RNA 2195	non-coding RNA
LINC02196	long intergenic non-protein coding RNA 2196	non-coding RNA
LINC02197	long intergenic non-protein coding RNA 2197	non-coding RNA
LINC02198	long intergenic non-protein coding RNA 2198	non-coding RNA
LINC02199	long intergenic non-protein coding RNA 2199	non-coding RNA
LINC02200	long intergenic non-protein coding RNA 2200	non-coding RNA
LINC02201	long intergenic non-protein coding RNA 2201	non-coding RNA
LINC02202	long intergenic non-protein coding RNA 2202	non-coding RNA
LINC02203	long intergenic non-protein coding RNA 2203	non-coding RNA
LINC02204	long intergenic non-protein coding RNA 2204	non-coding RNA
LINC02205	long intergenic non-protein coding RNA 2205	non-coding RNA
LINC02206	long intergenic non-protein coding RNA 2206	non-coding RNA
LINC02207	long intergenic non-protein coding RNA 2207	non-coding RNA
LINC02208	long intergenic non-protein coding RNA 2208	non-coding RNA
LINC02209	long intergenic non-protein coding RNA 2209	non-coding RNA
LINC02210	long intergenic non-protein coding RNA 2210	non-coding RNA
LINC02210-CRHR1	LINC02210-CRHR1 readthrough	other
LINC02211	long intergenic non-protein coding RNA 2211	non-coding RNA
LINC02212	long intergenic non-protein coding RNA 2212	non-coding RNA
LINC02213	long intergenic non-protein coding RNA 2213	non-coding RNA
LINC02214	long intergenic non-protein coding RNA 2214	non-coding RNA
LINC02215	long intergenic non-protein coding RNA 2215	non-coding RNA
LINC02216	long intergenic non-protein coding RNA 2216	non-coding RNA
LINC02217	long intergenic non-protein coding RNA 2217	non-coding RNA
LINC02218	long intergenic non-protein coding RNA 2218	non-coding RNA
LINC02219	long intergenic non-protein coding RNA 2219	non-coding RNA
LINC02220	long intergenic non-protein coding RNA 2220	non-coding RNA
LINC02221	long intergenic non-protein coding RNA 2221	non-coding RNA
LINC02222	long intergenic non-protein coding RNA 2222	non-coding RNA
LINC02223	long intergenic non-protein coding RNA 2223	non-coding RNA
LINC02224	long intergenic non-protein coding RNA 2224	non-coding RNA
LINC02225	long intergenic non-protein coding RNA 2225	non-coding RNA
LINC02226	long intergenic non-protein coding RNA 2226	non-coding RNA
LINC02227	long intergenic non-protein coding RNA 2227	non-coding RNA
LINC02228	long intergenic non-protein coding RNA 2228	non-coding RNA
LINC02229	long intergenic non-protein coding RNA 2229	non-coding RNA
LINC02230	long intergenic non-protein coding RNA 2230	non-coding RNA
LINC02231	long intergenic non-protein coding RNA 2231	non-coding RNA
LINC02232	long intergenic non-protein coding RNA 2232	non-coding RNA
LINC02233	long intergenic non-protein coding RNA 2233	non-coding RNA
LINC02234	long intergenic non-protein coding RNA 2234	non-coding RNA
LINC02235	long intergenic non-protein coding RNA 2235	non-coding RNA
LINC02236	long intergenic non-protein coding RNA 2236	non-coding RNA
LINC02237	long intergenic non-protein coding RNA 2237	non-coding RNA
LINC02238	long intergenic non-protein coding RNA 2238	non-coding RNA
LINC02239	long intergenic non-protein coding RNA 2239	non-coding RNA
LINC02240	long intergenic non-protein coding RNA 2240	non-coding RNA
LINC02241	long intergenic non-protein coding RNA 2241	non-coding RNA
LINC02242	long intergenic non-protein coding RNA 2242	non-coding RNA
LINC02243	long intergenic non-protein coding RNA 2243	non-coding RNA
LINC02244	long intergenic non-protein coding RNA 2244	non-coding RNA
LINC02245	long intergenic non-protein coding RNA 2245	non-coding RNA
LINC02246	long intergenic non-protein coding RNA 2246	non-coding RNA
LINC02247	long intergenic non-protein coding RNA 2247	non-coding RNA
LINC02248	long intergenic non-protein coding RNA 2248	non-coding RNA
LINC02249	long intergenic non-protein coding RNA 2249	non-coding RNA
LINC02250	long intergenic non-protein coding RNA 2250	non-coding RNA
LINC02251	long intergenic non-protein coding RNA 2251	non-coding RNA
LINC02252	long intergenic non-protein coding RNA 2252	non-coding RNA
LINC02253	long intergenic non-protein coding RNA 2253	non-coding RNA
LINC02254	long intergenic non-protein coding RNA 2254	non-coding RNA
LINC02255	long intergenic non-protein coding RNA 2255	non-coding RNA
LINC02256	long intergenic non-protein coding RNA 2256	non-coding RNA
LINC02257	long intergenic non-protein coding RNA 2257	non-coding RNA
LINC02258	long intergenic non-protein coding RNA 2258	non-coding RNA
LINC02259	long intergenic non-protein coding RNA 2259	non-coding RNA
LINC02260	long intergenic non-protein coding RNA 2260	non-coding RNA
LINC02261	long intergenic non-protein coding RNA 2261	non-coding RNA
LINC02262	long intergenic non-protein coding RNA 2262	non-coding RNA
LINC02263	long intergenic non-protein coding RNA 2263	non-coding RNA
LINC02264	long intergenic non-protein coding RNA 2264	non-coding RNA
LINC02265	long intergenic non-protein coding RNA 2265	non-coding RNA
LINC02266	long intergenic non-protein coding RNA 2266	non-coding RNA
LINC02267	long intergenic non-protein coding RNA 2267	non-coding RNA
LINC02268	long intergenic non-protein coding RNA 2268	non-coding RNA
LINC02269	long intergenic non-protein coding RNA 2269	non-coding RNA
LINC02270	long intergenic non-protein coding RNA 2270	non-coding RNA
LINC02271	long intergenic non-protein coding RNA 2271	non-coding RNA
LINC02272	long intergenic non-protein coding RNA 2272	non-coding RNA
LINC02273	long intergenic non-protein coding RNA 2273	non-coding RNA
LINC02274	long intergenic non-protein coding RNA 2274	non-coding RNA
LINC02275	long intergenic non-protein coding RNA 2275	non-coding RNA
LINC02276	long intergenic non-protein coding RNA 2276	non-coding RNA
LINC02277	long intergenic non-protein coding RNA 2277	non-coding RNA
LINC02278	long intergenic non-protein coding RNA 2278	non-coding RNA
LINC02279	long intergenic non-protein coding RNA 2279	non-coding RNA
LINC02280	long intergenic non-protein coding RNA 2280	non-coding RNA
LINC02281	long intergenic non-protein coding RNA 2281	non-coding RNA
LINC02282	long intergenic non-protein coding RNA 2282	non-coding RNA
LINC02283	long intergenic non-protein coding RNA 2283	non-coding RNA
LINC02284	long intergenic non-protein coding RNA 2284	non-coding RNA
LINC02285	long intergenic non-protein coding RNA 2285	non-coding RNA
LINC02286	long intergenic non-protein coding RNA 2286	non-coding RNA
LINC02287	long intergenic non-protein coding RNA 2287	non-coding RNA
LINC02288	long intergenic non-protein coding RNA 2288	non-coding RNA
LINC02289	long intergenic non-protein coding RNA 2289	non-coding RNA
LINC02290	long intergenic non-protein coding RNA 2290	non-coding RNA
LINC02291	long intergenic non-protein coding RNA 2291	non-coding RNA
LINC02292	long intergenic non-protein coding RNA 2292	non-coding RNA
LINC02293	long intergenic non-protein coding RNA 2293	non-coding RNA
LINC02294	long intergenic non-protein coding RNA 2294	non-coding RNA
LINC02295	long intergenic non-protein coding RNA 2295	non-coding RNA
LINC02296	long intergenic non-protein coding RNA 2296	non-coding RNA
LINC02297	long intergenic non-protein coding RNA 2297	non-coding RNA
LINC02298	long intergenic non-protein coding RNA 2298	non-coding RNA
LINC02299	long intergenic non-protein coding RNA 2299	non-coding RNA
LINC02300	long intergenic non-protein coding RNA 2300	non-coding RNA
LINC02301	long intergenic non-protein coding RNA 2301	non-coding RNA
LINC02302	long intergenic non-protein coding RNA 2302	non-coding RNA
LINC02303	long intergenic non-protein coding RNA 2303	non-coding RNA
LINC02304	long intergenic non-protein coding RNA 2304	non-coding RNA
LINC02305	long intergenic non-protein coding RNA 2305	non-coding RNA
LINC02306	long intergenic non-protein coding RNA 2306	non-coding RNA
LINC02307	long intergenic non-protein coding RNA 2307	non-coding RNA
LINC02308	long intergenic non-protein coding RNA 2308	non-coding RNA
LINC02309	long intergenic non-protein coding RNA 2309	non-coding RNA
LINC02310	long intergenic non-protein coding RNA 2310	non-coding RNA
LINC02311	long intergenic non-protein coding RNA 2311	non-coding RNA
LINC02312	long intergenic non-protein coding RNA 2312	non-coding RNA
LINC02313	long intergenic non-protein coding RNA 2313	non-coding RNA
LINC02314	long intergenic non-protein coding RNA 2314	non-coding RNA
LINC02315	long intergenic non-protein coding RNA 2315	non-coding RNA
LINC02316	long intergenic non-protein coding RNA 2316	non-coding RNA
LINC02317	long intergenic non-protein coding RNA 2317	non-coding RNA
LINC02318	long intergenic non-protein coding RNA 2318	non-coding RNA
LINC02319	long intergenic non-protein coding RNA 2319	non-coding RNA
LINC02320	long intergenic non-protein coding RNA 2320	non-coding RNA
LINC02321	long intergenic non-protein coding RNA 2321	non-coding RNA
LINC02322	long intergenic non-protein coding RNA 2322	non-coding RNA
LINC02323	long intergenic non-protein coding RNA 2323	non-coding RNA
LINC02324	long intergenic non-protein coding RNA 2324	non-coding RNA
LINC02325	long intergenic non-protein coding RNA 2325	non-coding RNA
LINC02326	long intergenic non-protein coding RNA 2326	non-coding RNA
LINC02327	long intergenic non-protein coding RNA 2327	non-coding RNA
LINC02328	long intergenic non-protein coding RNA 2328	non-coding RNA
LINC02329	long intergenic non-protein coding RNA 2329	non-coding RNA
LINC02330	long intergenic non-protein coding RNA 2330	non-coding RNA
LINC02331	long intergenic non-protein coding RNA 2331	non-coding RNA
LINC02332	long intergenic non-protein coding RNA 2332	non-coding RNA
LINC02333	long intergenic non-protein coding RNA 2333	non-coding RNA
LINC02334	long intergenic non-protein coding RNA 2334	non-coding RNA
LINC02335	long intergenic non-protein coding RNA 2335	non-coding RNA
LINC02336	long intergenic non-protein coding RNA 2336	non-coding RNA
LINC02337	long intergenic non-protein coding RNA 2337	non-coding RNA
LINC02338	long intergenic non-protein coding RNA 2338	non-coding RNA
LINC02339	long intergenic non-protein coding RNA 2339	non-coding RNA
LINC02340	long intergenic non-protein coding RNA 2340	non-coding RNA
LINC02341	long intergenic non-protein coding RNA 2341	non-coding RNA
LINC02342	long intergenic non-protein coding RNA 2342	non-coding RNA
LINC02343	long intergenic non-protein coding RNA 2343	non-coding RNA
LINC02344	long intergenic non-protein coding RNA 2344	non-coding RNA
LINC02345	long intergenic non-protein coding RNA 2345	non-coding RNA
LINC02346	long intergenic non-protein coding RNA 2346	non-coding RNA
LINC02347	long intergenic non-protein coding RNA 2347	non-coding RNA
LINC02348	long intergenic non-protein coding RNA 2348	non-coding RNA
LINC02349	long intergenic non-protein coding RNA 2349	non-coding RNA
LINC02350	long intergenic non-protein coding RNA 2350	non-coding RNA
LINC02351	long intergenic non-protein coding RNA 2351	non-coding RNA
LINC02352	long intergenic non-protein coding RNA 2352	non-coding RNA
LINC02353	long intergenic non-protein coding RNA 2353	non-coding RNA
LINC02354	long intergenic non-protein coding RNA 2354	non-coding RNA
LINC02355	long intergenic non-protein coding RNA 2355	non-coding RNA
LINC02356	long intergenic non-protein coding RNA 2356	non-coding RNA
LINC02357	long intergenic non-protein coding RNA 2357	non-coding RNA
LINC02358	long intergenic non-protein coding RNA 2358	non-coding RNA
LINC02359	long intergenic non-protein coding RNA 2359	non-coding RNA
LINC02360	long intergenic non-protein coding RNA 2360	non-coding RNA
LINC02361	long intergenic non-protein coding RNA 2361	non-coding RNA
LINC02362	long intergenic non-protein coding RNA 2362	non-coding RNA
LINC02363	long intergenic non-protein coding RNA 2363	non-coding RNA
LINC02364	long intergenic non-protein coding RNA 2364	non-coding RNA
LINC02365	long intergenic non-protein coding RNA 2365	non-coding RNA
LINC02366	long intergenic non-protein coding RNA 2366	non-coding RNA
LINC02367	long intergenic non-protein coding RNA 2367	non-coding RNA
LINC02368	long intergenic non-protein coding RNA 2368	non-coding RNA
LINC02369	long intergenic non-protein coding RNA 2369	non-coding RNA
LINC02370	long intergenic non-protein coding RNA 2370	non-coding RNA
LINC02371	long intergenic non-protein coding RNA 2371	non-coding RNA
LINC02372	long intergenic non-protein coding RNA 2372	non-coding RNA
LINC02373	long intergenic non-protein coding RNA 2373	non-coding RNA
LINC02374	long intergenic non-protein coding RNA 2374	non-coding RNA
LINC02375	long intergenic non-protein coding RNA 2375	non-coding RNA
LINC02376	long intergenic non-protein coding RNA 2376	non-coding RNA
LINC02377	long intergenic non-protein coding RNA 2377	non-coding RNA
LINC02378	long intergenic non-protein coding RNA 2378	non-coding RNA
LINC02379	long intergenic non-protein coding RNA 2379	non-coding RNA
LINC02380	long intergenic non-protein coding RNA 2380	non-coding RNA
LINC02381	long intergenic non-protein coding RNA 2381	non-coding RNA
LINC02382	long intergenic non-protein coding RNA 2382	non-coding RNA
LINC02383	long intergenic non-protein coding RNA 2383	non-coding RNA
LINC02384	long intergenic non-protein coding RNA 2384	non-coding RNA
LINC02385	long intergenic non-protein coding RNA 2385	non-coding RNA
LINC02386	long intergenic non-protein coding RNA 2386	non-coding RNA
LINC02387	long intergenic non-protein coding RNA 2387	non-coding RNA
LINC02388	long intergenic non-protein coding RNA 2388	non-coding RNA
LINC02389	long intergenic non-protein coding RNA 2389	non-coding RNA
LINC02390	long intergenic non-protein coding RNA 2390	non-coding RNA
LINC02391	long intergenic non-protein coding RNA 2391	non-coding RNA
LINC02392	long intergenic non-protein coding RNA 2392	non-coding RNA
LINC02393	long intergenic non-protein coding RNA 2393	non-coding RNA
LINC02394	long intergenic non-protein coding RNA 2394	non-coding RNA
LINC02395	long intergenic non-protein coding RNA 2395	non-coding RNA
LINC02396	long intergenic non-protein coding RNA 2396	non-coding RNA
LINC02397	long intergenic non-protein coding RNA 2397	non-coding RNA
LINC02398	long intergenic non-protein coding RNA 2398	non-coding RNA
LINC02399	long intergenic non-protein coding RNA 2399	non-coding RNA
LINC02400	long intergenic non-protein coding RNA 2400	non-coding RNA
LINC02401	long intergenic non-protein coding RNA 2401	non-coding RNA
LINC02402	long intergenic non-protein coding RNA 2402	non-coding RNA
LINC02403	long intergenic non-protein coding RNA 2403	non-coding RNA
LINC02404	long intergenic non-protein coding RNA 2404	non-coding RNA
LINC02405	long intergenic non-protein coding RNA 2405	non-coding RNA
LINC02406	long intergenic non-protein coding RNA 2406	non-coding RNA
LINC02408	long intergenic non-protein coding RNA 2408	non-coding RNA
LINC02409	long intergenic non-protein coding RNA 2409	non-coding RNA
LINC02410	long intergenic non-protein coding RNA 2410	non-coding RNA
LINC02411	long intergenic non-protein coding RNA 2411	non-coding RNA
LINC02412	long intergenic non-protein coding RNA 2412	non-coding RNA
LINC02413	long intergenic non-protein coding RNA 2413	non-coding RNA
LINC02414	long intergenic non-protein coding RNA 2414	non-coding RNA
LINC02415	long intergenic non-protein coding RNA 2415	non-coding RNA
LINC02416	long intergenic non-protein coding RNA 2416	non-coding RNA
LINC02417	long intergenic non-protein coding RNA 2417	non-coding RNA
LINC02418	long intergenic non-protein coding RNA 2418	non-coding RNA
LINC02419	long intergenic non-protein coding RNA 2419	non-coding RNA
LINC02420	long intergenic non-protein coding RNA 2420	non-coding RNA
LINC02421	long intergenic non-protein coding RNA 2421	non-coding RNA
LINC02422	long intergenic non-protein coding RNA 2422	non-coding RNA
LINC02423	long intergenic non-protein coding RNA 2423	non-coding RNA
LINC02424	long intergenic non-protein coding RNA 2424	non-coding RNA
LINC02425	long intergenic non-protein coding RNA 2425	non-coding RNA
LINC02426	long intergenic non-protein coding RNA 2426	non-coding RNA
LINC02427	long intergenic non-protein coding RNA 2427	non-coding RNA
LINC02428	long intergenic non-protein coding RNA 2428	non-coding RNA
